TaxonID,TaxonName,WoldaCode,Authority,TaxonomicLevel,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,TaxonomicFamily,TaxonomicGenus,Notes
44,"Panolis flammea","Not applicable","Denis & Schiffermuller","Species","Pine beauty","Arthropoda","Insecta","Lepidoptera","Noctuidae","Panolis ","Larvae found on Pinus sylvestris and Pinus cembra."
45,"Hyloicus pinastri","Not applicable","Linnaeus","Species","Pine hawkmoth","Arthropoda","Insecta","Lepidoptera","Sphingidae","Hyloicus ","None"
46,"Dendrolimus pini","Not applicable","Linnaeus","Species","Pine-tree lappet","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Dendrolimus ","Larvae found on Pinus sylvestris, Pinus cembra, Carex and Picea species."
47,"Bupalus piniaria","Not applicable","Linnaeus","Species","Pine looper or Bordered white","Arthropoda","Insecta","Lepidoptera","Geometridae","Bupalus ","Larvae found on Pinus sylvestris and Pinus cembra."
48,"Salmo salar","Not applicable","Linnaeus","Species","Atlantic salmon","Chordata","Osteichthyes","Salmoniformes","Salmonidae","Salmo ","None"
49,"Podiceps grisegena","Not applicable","Boddaert","Species","Red-necked grebe","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps ","Habitat summer - small lowland waters; winter - more open waters, rich in vegetation."
50,"Apodemus sylvaticus","Not applicable","Linnaeus","Species","Wood mouse","Chordata","Mammalia","Rodentia","Muridae","Apodemus ","Habitat woodlands, fields, hedgerows and gardens."
51,"Clethrionomys glareolus","Not applicable","Schreber","Species","Bank vole","Chordata","Mammalia","Rodentia","Muridae","Clethrionomys ","Habitat mainly deciduous woodland and scrub. In Scandinavia often in conifer woods."
52,"Clupea harengus","Not applicable","Linnaeus","Species","Atlantic herring","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Clupea ","Habitat: pelagic and live at depths to 250m.."
53,"Mallotus villosus","Not applicable","Mueller","Species","Capelin","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Mallotus ","Habitat: pelagic, shoaling fish. By day occur at depths of 150m, night closer to surface."
54,"Castor canadensis","Not applicable","Kuhl","Species","Beaver","Chordata","Mammalia","Rodentia","Castoridae","Castor ","None"
55,"Martes pennanti","Not applicable","Erxleben","Species","Fisher or  Pekan","Chordata","Mammalia","Carnivora","Mustelidae","Martes ","Original name  Mustela pennanti."
56,"Taxidea taxus","Not applicable","Schreber","Species","North American badger or American badger","Chordata","Mammalia","Carnivora","Mustelidae","Taxidea ","None"
57,"Ursus arctos","Not applicable","Linnaeus","Species","Brown bear","Chordata","Mammalia","Carnivora","Ursidae","Ursus ","Habitat  mountainous country and deciduous forests. Heavy persecution in Europe has led to reduction in population. Eastern Europe where they are still fairly numerous are much heavier."
58,"Ursus maritimus","Not applicable","Phipps","Species","Polar bear","Chordata","Mammalia","Carnivora","Ursidae","Ursus ","Habitat: arctic seas, on coasts in some areas. Previously known as Thalarctos maritimus."
59,"Canis latrans","Not applicable","Say","Species","Coyote or  Prarie wolf","Chordata","Mammalia","Carnivora","Canidae","Canis ","None"
60,"Ursus americanus","Not applicable","Pallas","Species","American black bear","Chordata","Mammalia","Carnivora","Ursidae","Ursus ","None"
61,"Anthus pratensis","Not applicable","Linnaeus","Species","Meadow pipit","Chordata","Aves","Passeriformes","Motacillidae","Anthus ","Habitat mainly moorland, rough meadow. In winter a range of open country."
62,"Oenanthe oenanthe","Not applicable","Linnaeus","Species","Wheatear","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe ","Habitat wide variety of open land, needs short turf."
63,"Alauda arvensis","Not applicable","Linnaeus","Species","Skylark","Chordata","Aves","Passeriformes","Alaudidae","Alauda ","Habitat open areas, arable fields. Introduced to Australia and New Zealand."
64,"Sturnus vulgaris","Not applicable","Linnaeus","Species","Starling","Chordata","Aves","Passeriformes","Sturnidae","Sturnus ","Habitat open woods, parks,  gardens."
65,"Vanellus vanellus","Not applicable","Linnaeus","Species","Lapwing","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus ","Breeds on open ground, including farmland, freshwater marshes, saltmarshes and estuaries."
66,"Columba oenas","Not applicable","Linnaeus","Species","Stock pigeon","Chordata","Aves","Columbiformes","Columbidae","Columba ","Habitat farmlands, towns and open woodlands."
67,"Corvus monedula","Not applicable","Linnaeus","Species","Jackdaw","Chordata","Aves","Passeriformes","Corvidae","Corvus ","Habitat woods, parks, gardens, farmland, seacliffs, towns."
68,"Corvus corone","Not applicable","Linnaeus","Species","Carrion crow","Chordata","Aves","Passeriformes","Corvidae","Corvus ","Habitat: ubiquitous, esp. where large trees."
69,"Prunella modularis","Not applicable","Linnaeus","Species","Hedge sparrow or Dunnock","Chordata","Aves","Passeriformes","Prunellidae","Prunella ","Habitat scrub, heathland, mixed woodland, forests, urban land,  coastal scrubby cliffs."
70,"Corvus corax","Not applicable","Linnaeus","Species","Raven","Chordata","Aves","Passeriformes","Corvidae","Corvus ","Habitat mountains, coasts, tundra."
71,"Emberiza schoeniclus","Not applicable","Linnaeus","Species","Reed bunting","Chordata","Aves","Passeriformes","Fringillidae","Emberiza ","Habitat marshes, water meadows, reed-beds."
72,"Vulpes fulva","Not applicable","Linnaeus","Species","American red fox","Chordata","Mammalia","Carnivora","Canidae","Vulpes ","None"
73,"Urocyon cinereoargenteus","Not applicable","Schreber","Species","Grey fox","Chordata","Mammalia","Carnivora","Canidae","Urocyon ","None"
74,"Alopex lagopus","Not applicable","Linnaeus","Species","Arctic fox","Chordata","Mammalia","Carnivora","Canidae","Alopex ","Habitat tundra. Numbers rise and fall with those of voles and lemmings. Fur trade statistics show 4-yearly cycle."
75,"Lynx canadensis","Not applicable","Kerr","Species","Canadian lynx","Chordata","Mammalia","Carnivora","Felidae","Lynx ","None"
76,"Puma concolor","Not applicable","Linnaeus","Species","Cougar or Mountain lion","Chordata","Mammalia","Carnivora","Felidae","Puma ","None"
77,"Martes americana","Not applicable","Turton","Species","American marten","Chordata","Mammalia","Carnivora","Mustelidae","Martes ","None"
78,"Mustela vison","Not applicable","Schreber","Species","North American mink","Chordata","Mammalia","Carnivora","Mustelidae","Mustela ","Habitat streams, rivers and lakes. Introduced to Iceland,  NC Europe, British Isles, Norway, Belarussia, Baltic States, Spain and Siberia."
79,"Ondatra zibethicus","Not applicable","Linnaeus","Species","Muskrat","Chordata","Mammalia","Rodentia","Muridae","Ondatra ","Habitat slow flowing rivers and lakes."
80,"Didelphis virginiana","Not applicable","Kerr","Species","Virginia opossum","Chordata","Mammalia","Marsupialia","Didelphidae","Didelphis ","None"
81,"Myocastor coypus","Not applicable","Molina","Species","Nutria or Coypu","Chordata","Mammalia","Rodentia","Myocastoridae","Myocastor ","Habitat river banks, reed-beds and marshes."
82,"Lutra canadensis","Not applicable","Schreber","Species","North American otter","Chordata","Mammalia","Carnivora","Mustelidae","Lutra ","Original name  Mustela Lutra canadensis, Schreber 1777."
83,"Procyon Lotor","Not applicable","Linnaeus","Species","Raccoon","Chordata","Mammalia","Carnivora","Procyonidae","Procyon ","Habitat wooded country near streams. Introduced into France, Germany and republics of the former USSR. Spread to Luxembourg and Netherlands"
85,"Mephitis mephitis","Not applicable","Schreber","Species","Striped skunk","Chordata","Mammalia","Carnivora","Mustelidae","Mephitis ","None"
87,"Tamiasciurus hudsonicus","Not applicable","Erxleben","Species","Red squirrel","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus ","None"
88,"Mustela ","Not applicable","Linnaeus","Genus","Weasel","Chordata","Mammalia","Carnivora","Mustelidae","Mustela ","Will live almost anywhere including wood, scrubland, hedgerows, rocky country, large towns."
89,"Canis lupus","Not applicable","Linnaeus","Species","Grey wolf or Timber wolf","Chordata","Mammalia","Carnivora","Canidae","Canis ","Habitat forests, mountains and tundra."
90,"Gulo gulo","Not applicable","Linnaeus","Species","Wolverine","Chordata","Mammalia","Carnivora","Mustelidae","Gulo ","Typical habitat is cold evergreen forests 250-4000m above sea level."
91,"Lynx rufus","Not applicable","Schreber","Species","Bobcat","Chordata","Mammalia","Carnivora","Felidae","Lynx ","Original name  Felis rufus."
92,"Agonus cataphractus","Not applicable","Linnaeus","Species","Hooknose or Pogge","Chordata","Osteichthyes","Scorpaeniformes","Agonidae","Agonus ","None"
93,"Alosa fallax","Not applicable","Lacepede","Species","Twaite shad","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Alosa ","None"
94,"Anguilla anguilla","Not applicable","Linnaeus","Species","Common eel","Chordata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla ","Pelagic life in upper waters of the sea and carried by Gulf stream. Spawned in Sargasso sea, 4000km SW of Europe. Journey takes 3 years the end of which they metamorphose into colourless elvers."
95,"Aphia minuta","Not applicable","Risso","Species","Transparent goby","Chordata","Osteichthyes","Perciformes","Gobiidae","Aphia ","None"
96,"Callionymus lyra","Not applicable","Linnaeus","Species","Dragonet","Chordata","Osteichthyes","Perciformes","Dragonettidea","Callionymus ","Habitat: sandy bottoms, from shallow water down to 400m."
97,"Ciliata mustela","Not applicable","Linnaeus","Species","5-bearded rockling","Chordata","Osteichthyes","Gadiformes","Gadidae","Ciliata ","Habitat: sandy or rocky bottoms in shallow water of algal zone. Eggs and larvae are pelagic."
98,"Ciliata septentrionalis","Not applicable","Collet","Species","Northern rockling","Chordata","Osteichthyes","Gadiformes","Gadidae","Ciliata ","None"
99,"Conger conger","Not applicable","Linnaeus","Species","Conger","Chordata","Osteichthyes","Anguilliformes","Congridae","Conger ","Habitat: spawn in Sargasso sea, larvae are pelagic at depths of 100-200m, change to eel shape when 14 -16cm long."
100,"Cyclopterus lumpus","Not applicable","Linnaeus","Species","Lumpsucker","Chordata","Osteichthyes","Perciformes","Cyclopteridae","Cyclopterus ","Habitat: hard , stony bottom at depths of 20 -200m."
101,"Dicentrarchus labrax","Not applicable","Linnaeus","Species","Bass","Chordata","Osteichthyes","Perciformes","Serranidae","Dicentrarchus ","Habitat: small shoals close to rocky coasts and in large estuaries"
102,"Entelurus aequoreus","Not applicable","Linnaeus","Species","Snake pipefish","Chordata","Osteichthyes","Gasterosteiformes","Syngnathidae","Entelurus ","Habitat: depths of  5 - 100m"
103,"Eutrigla gurnardus","Not applicable","Linnaeus","Species","Grey gurnard","Chordata","Osteichthyes","Scorpaeniformes","Triglidae","Eutrigla ","Habitat: bottom-living in depths of 10 - 150m, on soft mixed ground"
104,"Gadus morhua","Not applicable","Linnaeus","Species","Cod","Chordata","Osteichthyes","Gadiformes","Gadidae","Gadus ","None"
105,"Limanda limanda","Not applicable","Linnaeus","Species","Dab","Chordata","Osteichthyes","Pleuronectiformes","Hippoglossidae","Limanda ","Order also known as Heterosomata. Habitat: sandy ground, slightly shallower than Plaice"
106,"Liparis liparis","Not applicable","Linnaeus","Species","Common sea snail","Chordata","Osteichthyes","Perciformes","Liparidae","Liparis ","Habitat: algal zone"
107,"Liza ramada","Not applicable","Risso","Species","Thinlipped grey mullet","Chordata","Osteichthyes","Perciformes","Mugilidae","Liza ","None"
108,"Merlangius merlangus","Not applicable","Linnaeus","Species","Whiting","Chordata","Osteichthyes","Gadiformes","Gadidae","Merlangius ","Habitat: Coastal eel-grass zone to depths of 200m"
109,"Merluccius merluccius","Not applicable","Linnaeus","Species","Hake","Chordata","Osteichthyes","Gadiformes","Gadidae","Merliccius ","Habitat: bottom by day in depths of 100 - 300m, moving up at night"
110,"Platichthys flesus","Not applicable","Linnaeus","Species","Flounder","Chordata","Osteichthyes","Pleuronectiformes","Hippoglossidae","Platichthys ","Order also known as Heterosomata."
111,"Pleuronectes platessa","Not applicable","Linnaeus","Species","Plaice","Chordata","Osteichthyes","Pleuronectiformes","Hippoglossidae","Pleuronectes ","Order also known as Heterosomata. Habitat: bottom-living species on mixed mud and sandy grounds from shore to depths of 200m."
112,"Pollachius pollachius","Not applicable","Linnaeus","Species","Pollack","Chordata","Osteichthyes","Gadiformes","Gadidae","Pollachius ","Habitat: pelagic or bottom living species at depths of 200m"
113,"Pomatoschistus minutus","Not applicable","Pallas","Species","Sand goby","Chordata","Osteichthyes","Perciformes","Gobiidae","Pomatoschistus ","None"
114,"Raja clevata","Not applicable","Linnaeus","Species","Thornback ray or Roker","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja ","None"
115,"Solea vulgaris","Not applicable","Quensel","Species","Sole or Dover sole","Chordata","Osteichthyes","Pleuronectiformes","Soleidae","Solea ","None"
116,"Sprattus sprattus","Not applicable","Linnaeus","Species","Sprat","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Sprattus ","Habitat: pelagic shoaling fish found in fjords and waters near the coast in depths of 10 - 50m. In winter deeper, 150m."
117,"Trisopterus esmarkii","Not applicable","Nilsson","Species","Norway pout","Chordata","Osteichthyes","Gadiformes","Gadidae","Trisopterus ","Habitat: depths of 80 - 300m"
118,"Trisopterus luscus","Not applicable","Linnaeus","Species","Pout","Chordata","Osteichthyes","Gadiformes","Gadidae","Trisopterus ","Habitat: moderate depths in coastal waters over rocky ground."
119,"Trisopterus minutus","Not applicable","Linnaeus","Species","Poor-cod","Chordata","Osteichthyes","Gadiformes","Gadidae","Trisopterus ","Habitat: depths of 25 - 300m"
120,"Crangon vulgaris","Not applicable","Linnaeus","Species","Common shrimp","Arthropoda","Crustacea","Decapoda","Crangonidae","Crangon ","None"
121,"Hyperomyzus lactucae","Not applicable","Linnaeus","Species","Currant-Sowthistle aphid","Arthropoda","Insecta","Hemiptera","Delphacidae","Hyperomyzus ","None"
122,"Perizoma alchemillata","Not applicable","Linnaeus","Species","Small rivulet","Arthropoda","Insecta","Lepidoptera","Geometridae","Perizoma ","Larvae found on Melandrium species Including Melandrium robum."
126,"Cervus elaphus canadensis","Not applicable","Erxleben","Sub species","American elk or Wapiti","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus ","None"
129,"Alectoris rufa","Not applicable","Linnaeus","Species","Red-legged partridge","Chordata","Aves","Galliformes","Phasianidae","Alectoris ","Habitat open rocky or scrubby country, farmlands"
130,"Gallinula chloropus","Not applicable","Linnaeus","Species","Moorhen","Chordata","Aves","Gruiformes","Rallidae","Gallinula ","Habitat marshes, swampy riparian bushes and reedbeds"
131,"Carduelis carduelis","Not applicable","Linnaeus","Species","Goldfinch","Chordata","Aves","Passeriformes","Fringillidae","Carduelis ","Habitat open broad-leaved woodland, scrub, gardens"
132,"Troglodytes troglodytes","Not applicable","Linnaeus","Species","Wren","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes ","Habitat woodland gardens,  cultivated land,  moors, heaths,  rocky island"
133,"Motacilla alba","Not applicable","Linnaeus","Species","Pied wagtail","Chordata","Aves","Passeriformes","Motacillidae","Motacilla ","Habitat open ground,  often near water"
134,"Sylvia communis","Not applicable","Latham","Species","Whitethroat","Chordata","Aves","Passeriformes","Sylviidae","Sylvia ","Habitat low shrubby growth, scrub, steppe, open woodland, edge of farmlands, swamp edge, shrubby areas in grasslands"
135,"Acrocephalus schoenobaenus","Not applicable","Linnaeus","Species","Sedge warbler","Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus ","Habitat osiers,  marsh ditches,  lakes, conifer plantations and rape fields"
136,"Motacilla flava","Not applicable","Linnaeus","Species","Yellow wagtail","Chordata","Aves","Passeriformes","Motacillidae","Motacilla ","Habitat marshes, lowland grassland,  some arable crops"
137,"Setophaga ruticilla","Not applicable","Linnaeus","Species","American redstart","Chordata","Aves","Passeriformes","Fringillidae","Setophaga ","Typical habitats are deciduous and mixed woodland."
138,"Empidonax minimus","Not applicable","Baird & Baird","Species","Least flycatcher","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax ","Habitat open woodland, forest edge and towns"
139,"Vireo olivaceus","Not applicable","Linnaeus","Species","Red-eyed vireo","Chordata","Aves","Passeriformes","Vireonidae","Vireo ","Typical habitat includes habitats such as deciduous or mixed forests and river bank woodland."
140,"Vireo philadelphicus","Not applicable","Cassin","Species","Philadelphia vireo","Chordata","Aves","Passeriformes","Vireonidae","Vireo ","Habitat open woodland, forest edge, second growth, towns and thickets"
143,"Piranga olivacea","Not applicable","Gmelin","Species","Scarlet tanager","Chordata","Aves","Passeriformes","Fringillidae","Piranga ","Habitat forests"
144,"Pheucticus melanocephalus","Not applicable","Swainson","Species","Rose-breasted grosbeak","Chordata","Aves","Passeriformes","Fringillidae","Pheucticus ","Typical habitat includes deciduous forests, woodland, pine-oak, pinyon-juniper, riparian woodland and thickets."
145,"Dendroica virens","Not applicable","Gmelin","Species","Black-throated green warbler","Chordata","Aves","Passeriformes","Fringillidae","Dendroica ","Habitat open coniferous and mixed coniferous-deciduous forest"
146,"Dendroica caerulescens","Not applicable","Gmelin","Species","Black-throated blue warbler","Chordata","Aves","Passeriformes","Fringillidae","Dendroica ","Typical habitat includes deciduous upland woodland."
147,"Dendroica fusca","Not applicable","Muller","Species","Blackburnian warbler","Chordata","Aves","Passeriformes","Fringillidae","Dendroica ","Typical habitat includes coniferous forests and woodland."
148,"Catharus ustulatus","Not applicable","Nuttall","Species","Swainson's thrush","Chordata","Aves","Passeriformes","Muscicapidae","Catharus ","Typical habitat includes coniferous forests, mixed woodland, riparian woodland and thickets."
149,"Hylocichla mustelina","Not applicable","Gmelin","Species","Wood thrush","Chordata","Aves","Passeriformes","Muscicapidae","Hylocichla ","Habitat woodland,  wooded slopes,  parks often near streams"
150,"Catharus fuscescens","Not applicable","Stephens","Species","Veery","Chordata","Aves","Passeriformes","Muscicapidae","Catharus ","Typical habitats are deciduous or mixed woodland, swampy forest often riparian willows and alders."
151,"Junco hyemalis","Not applicable","Linnaeus","Species","Dark-eyed junco","Chordata","Aves","Passeriformes","Fringillidae","Junco ","Typical habitat includes conifers, birch and aspen."
152,"Catharus guttatus","Not applicable","Pallas","Species","Hermit thrush","Chordata","Aves","Passeriformes","Muscicapidae","Catharus ","Typical habitat includes coniferous, deciduous or mixed woodland."
153,"Seiurus aurocapillus","Not applicable","Linnaeus","Species","Ovenbird","Chordata","Aves","Passeriformes","Fringillidae","Seiurus ","Habitat forest,  shrubby thickets"
154,"Turdus migratorius","Not applicable","Linnaeus","Species","American robin","Chordata","Aves","Passeriformes","Muscicapidae","Turdus ","Habitat forest borders,  woodland, parks,  lawns suburbs"
161,"Zenaida macroura","Not applicable","Linnaeus","Species","Mourning dove","Chordata","Aves","Columbiformes","Columbidae","Zenaida ","Habitat farmland,  open woods,  towns and gardens"
162,"Coccyzus americanus","Not applicable","Linnaeus","Species","Yellow billed cuckoo","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus ","Habitat open woods,  streamside thickets"
163,"Bubo virginianus","Not applicable","Gmelin","Species","Great horned owl","Chordata","Aves","Strigiformes","Strigidae","Bubo ","Habitat lowlands to tree line in deciduous or coniferous and tropical forests. Prarie,  desert,  farmland and suburban areas"
164,"Archilochus colubris","Not applicable","Linnaeus","Species","Ruby-throated hummingbird","Chordata","Aves","Apodiformes","Trochilidae","Archilochus ","Habitat woodland and swamp"
165,"Colaptes auratus","Not applicable","Linnaeus","Species","Common flicker","Chordata","Aves","Piciformes","Picidae","Colaptes ","Habitat open forest,  savannah,  open areas with widely scattered trees"
166,"Melanerpes carolinus","Not applicable","Linnaeus","Species","Red-bellied woodpecker","Chordata","Aves","Piciformes","Picidae","Melanerpes ","Habitat open woodland, second growth,  riverine forest, swamps and towns"
167,"Melanerpes erythrocephalus","Not applicable","Linnaeus","Species","Red-headed woodpecker","Chordata","Aves","Piciformes","Picidae","Melanerpes ","Habitat open woods,  parks and scattered trees"
168,"Picoides villosus","Not applicable","Linnaeus","Species","Hairy woodpecker","Chordata","Aves","Piciformes","Picidae","Picoides ","Typical habitat includes coniferous and deciduous forests."
169,"Picoides pubescens","Not applicable","Linnaeus","Species","Downy woodpecker","Chordata","Aves","Piciformes","Picidae","Picoides ","Typical habitats are deciduous and mixed woodland and towns."
170,"Myiarchus crinitus","Not applicable","Linnaeus","Species","Great crested flycatcher","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus ","Habitat open woods,  woodland edge"
171,"Contopus virens","Not applicable","Linnaeus","Species","Eastern wood-pewee","Chordata","Aves","Passeriformes","Tyrannidae","Contopus ","Typical habitat includes deciduous and mixed deciduous-coniferous forest, open woodland and towns."
172,"Cyanocitta cristata","Not applicable","Linnaeus","Species","Blue jay","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta ","Typical habitat includes deciduous forests and  semiwoodland areas."
173,"Corvus brachyrhynchos.","Not applicable","Brehm","Species","Common crow or American crow","Chordata","Aves","Passeriformes","Corvidae","Corvus ","Habitat woods, parks, farmland"
174,"Parus bicolor","Not applicable","Linnaeus","Species","Tufted titmouse","Chordata","Aves","Passeriformes","Paridae","Parus ","Typical habitat includes broad-leaved forests and open woods."
175,"Troglodytes aedon","Not applicable","Vieillot","Species","House wren","Chordata","Aves","Passeriformes","Certhiidae","Troglodytes ","Habitat woodland thickets, chaparral, farmlands and towns"
