DatasourceID,Author,Year,Title,Reference,Availability,ContactAddress,DataMedium,Notes
24,"Elton, C.","1942","Voles, mice and lemmings.","Voles, Mice and Lemmings: Problems in Population Dynamics, Clarendon Press, Oxford.","Public Domain","None","Hard Copy - Tabular","IDs 1220-1223, years 1880-1926 from Johnsen (1929) and 1927-31 from Norsk Jaeger-og Fisker-Forenings Tidsskrift.  IDs 1224-1236 and 1242-1248 are from Moravian Missions, Labrador Fur Returns, 1834-1925. MS. Moravian Mission, 32 Fetter Lane, London."
25,"Formosof, A.N.","1933","The crop of Cedar Nuts, invasions into Europe of the Siberian Nutcracker (Nucifraga caryocatactes macrorhynchus Brehm) and fluctuations in numbers of the squirrel (Sciurus vulgaris L.).","Journal of Animal Ecology, 2:71-81","Public Domain","None","Hard Copy - Graphical","None"
26,"Varley, G.C.","1949","Population changes in German forest pests.","Journal of Animal Ecology, 18:117-122","Public Domain","None","Hard Copy - Graphical","Data in this paper were taken from a paper by Schwerdtfeger and replotted on a log scale."
27,"Varley, G.C. & Gradwell, G.R.","1963","Predatory insects as density dependent mortality factors.","Proc. 16 Int. Congr. Zool., 1:240","Public Domain","None","Hard Copy - Graphical","None"
28,"Varley, G.C. & Gradwell, G.R.","1968","Population models for the Winter Moth.","In: Southwood T.R.E. (Ed.) Insect Abundance . Symp. R. ent.soc. Lond.,4,132-142","Public Domain","None","Hard Copy - Tabular","None"
29,"Varley, G.C., Gradwell, G.R. & Hassell, M.P.","1973","Insect population dynamics.","In: Insect Population dynamics- an analytical approach - Varley G.C.,Gradwell G.R. & Hassell M.P.","Public Domain","None","Hard Copy - Graphical","None"
30,"Pinter, A.J.","1987","Multiannual fluctuations in precipitation and population dynamics of the montane vole, Microtus montanus.","Canadian Journal of Zoology, 66:2128 - 2132","Public Domain","Dept. Biological Sciences, University of New Orleans , New Orleans","Hard Copy - Graphical","None"
31,"Hewson, R.","1965","Population changes in the Mountain Hare, Lepus timidus L.","Journal of Animal Ecology, 34:587-600","Public Domain","None","Hard Copy - Graphical","None"
32,"Perrins, C.M.","1965","Population fluctuations and clutch-size in the great-tit, Parus Major L.","Journal of Animal Ecology, 34:601-47","Public Domain","None","Hard Copy - Graphical","None"
33,"Middleton, A.D.","1934","Periodic fluctuations in British game populations.","Journal of Animal Ecology, 3:231-49","Public Domain","None","Hard Copy - Tabular","None"
34,"Nedelman, J., Thompson, J.A. & Taylor, R.J.","1987","The statistical demography of Whooping Cranes.","Ecology, 68:1401-11","Public Domain","Dept. of mathematical sciences, Clemson University, Clemson.South Carolina 29634-1907 USA","Hard Copy - Tabular","None"
35,"Knight, R.R. & Eberhardt, L.L.","1985","Population dynamics of Yellowstone Grizzly Bears.","Ecology, 66:323-334","Public Domain","Interagency Grizzly Bear Study Team, Forestry Sciences Laboratory,Montana State University, Bozeman, Montana 59717 USA","Hard Copy - Graphical","None"
36,"Loery, G. & Nichols, J.D.","1985","Dynamics of a Black-capped Chickadee population, 1958-83.","Ecology, 66:1195-1203","Public Domain","White memorial Conservation Centre, Litchfield Connecticut 06759 USA","Hard Copy - Tabular","None"
37,"Brown, J.H. & Heske, E.J","1990","Temporal changes in a Chihuahuan Desert rodent community.","Oikos, 59:290-302","Public Domain","Dept of Biology, Univ. of New Mexico, Albuquerque, NM87131,USA.","Hard Copy - Graphical","None"
38,"Middleton, A.D.","1936","The population of partridges (Perdix perdix) in Great Britain During 1935.","Journal of Animal Ecology, 5:252-261","Public Domain","None","Hard Copy - Tabular","None"
39,"Lack, D.","1954","The natural regulation of animal numbers.","The Natural Regulation of Animal Numbers - Oxford, Claredon Press 1954","Public Domain","None","Hard Copy - Graphical","None"
41,"Barnes, H.F.","1947","Periodic fluctuations in the prevalence of the wheat blossom midges.","Journal of Animal Ecology, 16:74-75","Public Domain","None","Hard Copy - Tabular","None"
43,"Fisher, J. & Vevers, H.G.","1945","The breeding distribution, history and population of the North Atlantic gannet (Sula bassana).","Journal of Animal Ecology, 13:49-62","Public Domain","None","Hard Copy - Tabular","None"
44,"Stephen, A.C.","1938","Production of large broods in certain marine Lamellibranchs with a possible relation to weather conditions.","Journal of Animal Ecology, 7:130-43","Public Domain","None","Hard Copy - Tabular","None"
45,"Fisher, J. & Waterston, G.","1941","The breeding distribution, history and population of the fulmar (Fulmarus glacialis) in the British Isles.","Journal of Animal Ecology, 10:204-72","Public Domain","None","Hard Copy - Tabular","None"
46,"Francis, C.M., Richards, M.H., Cooke, F. & Rockwell, R.F.","1992","Long-term changes in survival rates of lesser snow geese.","Ecology, 73:1346-62","Public Domain","Dept. of Biology , Queens University, Kingston Ontario, Canada. K7L 3N6","Hard Copy - Graphical","None"
48,"Kanyamibwa, S., Schierer, A., Pradel, R. & Lebreton, J.D.","1989","Changes in adult annual survival rates in a western European population of the White Stork Ciconia ciconia.","IBIS, 132:27-35","Public Domain","C.E.F.E./C.N.R.S., Bp5051, 34033 Montpellier Cedex, and C.R.B.O., 1, rue de Macon, F 67100 Strasbourg, France","Hard Copy - Graphical","Data taken from Schierer, A. 1986. Quarante annees d'observations de recherches sur la cigogne blanche. Ciconia, 10:1-12."
49,"British Trust for Ornithology","1995","Common bird census.","Refer BTO","Restricted","BTO, The Nunnery, Thetford, Norfolk, IP24 2PU","Magnetic disk","None"
50,"Gibb, J.A. & Betts, M.M.","1963","Food and food supply of nestling tits (Paridae) in Breckland Pine.","Journal of Animal Ecology, 32:489-525","Public Domain","None","Hard Copy - Tabular","None"
51,"Williams, G.R.","1963","A four-year population cycle in California quail, Lophortyx californicus (Shaw) in the South Island of New Zealand.","Journal of Animal Ecology, 32:441-59","Public Domain","None","Hard Copy - Tabular","None"
52,"Hardisty, M.W.","1961","Studies on an isolated spawning population of the Brook Lamprey (Lampetra planeri).","Journal of Animal Ecology, 30:339-71","Public Domain","None","Hard Copy - Tabular","None"
53,"Klomp, H.","1966","The dynamics of a field population of the pine looper, Bupalus piniarius L.  (Lep., Geom.).","Advances in Ecological Research, 3:207-305","Public Domain","None","Electronic transfer","None"
54,"Johnson, D.F., Botsford, L.W., Mathot, R.D. Jr. & Wainwright, T.C.","1990","Wind stress and cycles in Dungeness crab (Cancer magister) catch off California, Oregon, and Washington.","http://www-wfb.ucdavis.edu/www/PopData/Crab/WindStressAbs.html","Public Domain","Pacific States Marine Commission, 45 S.E. 82nd Drive, Suite 100, Galdstone, Oregon 97027-2522","Hard Copy - Tabular","See also: Can. J. Fish. Aquat. Sci., 43:838-845. The same data (expressed in kg) appears in ""Stochastic dynamics and deterministic skeletons: Population behaviour of Dungeness crab."" by Higgins, K., Hastings, A., Sarvela, J.N. & Botsford, L.W. in Science, 276:1431-1435."
55,"Nebraska Game and Parks Commission","1990","The Bobwhite Quail in Nebraska.","http://ngp.ngpc.state.ne.us/wildlife/quail.html#population","Public Domain","Marilyn Tabor, Nebraska Game and Parks Commission, 2200 North 33rd St., Lincoln, Ne 68503.","Hard Copy - Tabular","None"
56,"Auer, C.","1975","Jahrliche und langfristige dicteveranderungen bei Larchen - wickerpopulationen (Zeiraphera diniana Gn.) ausserhalb des Optimumgebietes.","In: Berryman, A.A.: Forest insects - Principles and Practice of population management. P65","Public Domain","None","Hard Copy - Graphical","None"
57,"Blank, T.H., Southwood, T.R.E. & Cross, D.J.","1967","The ecology of the partridge 1. Outline of population processes with particular reference to chick mortality and nest density.","Journal of Animal Ecology, 36:549-69","Public Domain","None","Hard Copy - Tabular","None"
58,"Watson, A.","1968","A population study of ptarmigan (Lagopus mutus) in Scotland.","Journal of Animal Ecology, 34:135-172","Public Domain","None","Hard Copy - Tabular","None"
59,"MacLulich, D.A.","1937","Fluctuations in the numbers of the varying hare (Lepus americanus).","University of Toronto Studies, Biological Series No. 43, University of Toronto Press.","Public Domain","None","Hard Copy - Tabular","None"
60,"Coulson, J.C.","1964","The breeding biology of the grey seal Halichoerus grypus (Fab.) on the Farne Islands, Northumberland.","Journal of Animal Ecology, 33:485-512","Public Domain","None","Hard Copy - Tabular","None"
61,"Boyd, H., Smith, G.E.J. & Cooch, F.G.","1982","The lesser snow geese of eastern Canadian Arctic.","Occasional Paper No.46 Canadian Wildlife Service","Public Domain","None","Hard Copy - Graphical","None"
62,"Lack, D.","1969","Population changes in the land birds of a small island.","Journal of Animal Ecology, 38:211-218","Public Domain","None","Hard Copy - Tabular","Counts for the first 12 years made by Lockley (1938), after the war counts were made by wardens and visitors."
63,"Philips Price, M.","1961","Warbler fluctuations in oak woodland in the Severn Valley.","British Birds, 54:100-106","Public Domain","None","Hard Copy - Tabular","None"
85,"Hewson, R.","1975","A population study of Mountain Hares (Lepus timidus) in north-east Scotland from 1956-1969.","Un-named book chapter pp395-414","Public Domain","None","Hard Copy - Tabular","None"
86,"Mori, A.","1979","Analysis of population changes by measurement of body weight in the Koshima troop of Japanese monkeys.","Primates, 20:371-397","Public Domain","None","Hard Copy - Tabular","None"
88,"Tinkle, D.W., Dunham, A.E. & Congdon, J.D.","1993","Life history and demographic variation in the lizard Sceloporus graciosus: a long term study.","Ecology, 74:2413-2429","Public Domain","A.E.Dunham, Dept. Biology, University of Pennsylvania, Philadelphia, PA, 19104-6018, USA","Hard Copy - Tabular","None"
214,"Baltensweiler, W. & Fischlin, A.","1996","The Larch Budmoth in the Alps.","Un-named book chapter pp331-351","Public Domain","Dept. of Plant Sciences, Swiss Federal Institute of Technology, CH-8092, Zurich, Switzerland","Hard Copy - Graphical","None"
215,"Yapp, W.B.","1950","The population of rooks (Corvus frugilegus) in West Gloucestershire. II.","Journal of Animal Ecology, 20:169-172","Public Domain","None","Hard Copy - Tabular","The area surveyed, and the results for 1933, are described in Yapp, W.B., ""The rook population of west Gloucestershire"", Journal of Animal Ecology, 3:77-80."
218,"Richardson, S.C, Patterson, I.J. & Dunnet, G.M.","1979","Fluctuations in the colony size in the rook, Corvus frugilegus.","Journal of Animal Ecology, 48:103-110","Public Domain","None","Hard Copy - Graphical","None"
219,"Craig, J.F., Kipling, C., Le Cren, E.D. & McCormack, J.C.","1979","Estimates of the numbers, biomass and year-class strengths of perch (Perca fluviatilis L.) in Windermere from 1967 to 1977 and some comparisons with earlier years.","Journal of Animal Ecology, 48:315-325","Public Domain","None","Hard Copy - Graphical","None"
301,"Myers, R.A., Bridson, J. & Barrowman, N.J.","1995","Summary of World-wide Spawner and Recruitment Data.","Canadian Tech. Report of Fisheries & Aquatic Sciences 2024 - See Notes panel in Section 4 (above) for original data source.","Public Domain","None","Magnetic disk","None"
302,"Cain, A.J., Cook, L.M. & Currey, J.D.","1990","Population size and morph frequency in a long-term study of Cepea nemoralis.","Proc. R. Soc. Lond. B. 240, 231-250","Public Domain","None","Hard Copy - Tabular","None"
303,"Barkalow, F.S., Hamilton, R.B. & Soots, R.F.","1970","The vital statistics of an unexploited grey squirrel population.","Journal of Wildlife Management, 34:489-500","Public Domain","None","Hard Copy - Tabular","None"
304,"Johnstone, J., Scott, A. & Chadwick, H.C.","1924","The marine plankton with special reference to investigations made at Port Erin, Isle of Man during 1907-1914.","Liverpool U.P & Hodder and Stoughton, London","Public Domain","None","Hard Copy - Tabular","None"
305,"Le Cren, E.D., Kipling, C. & McCormack, J.C.","1977","Estimates in the numbers, biomass and yearclass strengths of Perch (Perca fluviatilis L.) in Windermere from 1941-1966.","Journal of Animal Ecology, 46:281-307","Public Domain","None","Hard Copy - Tabular","None"
306,"Runyoro, V.R., Hofer, H., Chausi, E.B. & Moehlman, P.D.","1995","Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania.","In: Serengeti II by Sinclair, A.R.E. & Arcese, P.,  pp 146-168","Public Domain","None","Hard Copy - Graphical","None"
307,"Broten, M.D. & Said, M.","1995","Population trends of ungulates in and around Kenya's Masai Mara Reserve.","In: Serengeti II by Sinclair, A.R.E. & Arcese, P.,  pp 169-193","Public Domain","None","Hard Copy - Graphical","None"
308,"Magnuson, J. & Kratz, T.K.","1996","Crayfish Abundance in the Northern Temperate Lakes Primary Study Lakes.","http://www.limnology.wisc.edu/gopher-data/lter_data/crayfish_data/crayfish","Public Domain","Barbara Benson(Data Manager). Centre for Limnology, University of Wisconsin-Madison,680 N.Park St., Madison WI 53706","Hard Copy - Tabular","None"
309,"Woiwod, I.P. & Dancy, K.J.","1986","Synoptic monitoring for migrant insect pests in Great Britain and Western Europe. VII. Annual population fluctuations of macrolepidoptera over Great Britain for 17 years.","Rothamsted Report for 1986","Public Domain","None","Hard Copy - Graphical","None"
402,"Southwick, C.H., Siddiqi, M.R. & Siddiqi, M.F.","1970","Primate Populations and Biomedical Research.","Primate Utilization and Conservation, page 32 (eds. Bermant, G. & Lindburg, D.)","Public Domain","None","Hard Copy - Graphical","None"
403,"Kipling, C. & Frost, W.E.","1970","A study of the mortality, population numbers, year class strengths, production and food consumption of pike Esox lucius L., in Windermere from 1944 to 1962.","Journal of Animal Ecology, 39:115-158","Public Domain","None","Hard Copy - Tabular","None"
404,"Hanby, J.P., Boycott, J.D. & Packer, C.","1995","Ecology, demography and behaviour of lions in two contrasting habitats: Ngorongoro Crater and the Serengeti Plains.","In: Serengeti II by Sinclair, A.R.E. & Arcese, P.,  pp 315-331","Public Domain","None","Hard Copy - Graphical","None"
405,"Burrows, R.","1995","Demographic changes and social consequences in wild dogs, 1964-1992.","In: Serengeti II by Sinclair, A.R.E. & Arcese, P.,  pp 400-420","Public Domain","None","Hard Copy - Graphical","None"
406,"Garsd, A. & Howard, W.E.","1982","Microtine Population Fluctuations: An Ecosystem approach based on Time-series Analysis.","Journal of Animal Ecology, 51:225-234","Public Domain","None","Hard Copy - Graphical","None"
407,"Newton, I. & Marquiss, M.","1982","Fidelity to breeding area and mate in Sparrowhawks Accipter nisus.","Journal of Animal Ecology, 51:327-341","Public Domain","None","Hard Copy - Graphical","None"
408,"Ollason, J.C. &  Dunnet, G.M.","1983","Modelling annual changes in numbers of breeding Fulmars, Fulmarus glacialis, at a colony in Orkney.","Journal of Animal Ecology, 52:185-198","Public Domain","None","Hard Copy - Graphical","Data for 1980 and 1981 supplied by authors as not in paper"
409,"Potts, G.R., Coulson, J.C. & Deans, I.R.","1980","Population dynamics and breeding success of the Shag, Phalacrocorax aristotelis on the Farne Islands, Northumberland.","Journal of Animal Ecology, 49:465-485","Public Domain","None","Hard Copy - Graphical","None"
410,"Davis, P.E. & Newton, I.","1981","Population and Breeding of Red Kites in Wales over a 30-Year Period.","Journal of Animal Ecology, 50:759-772","Public Domain","None","Hard Copy - Graphical","None"
411,"Minot, E.O. & Perrins, C.M.","1986","Interspecific interference competition - Nest Sites for Blue and Great Tits.","Journal of Animal Ecology, 55:331-350","Public Domain","None","Hard Copy - Tabular","None"
412,"Croxall, J.P., Rothery, P., Pickering, S.P.C. & Prince, P.A.","1990","Reproductive Performance, Recruitment and Survival of Wandering Albatrosses, Diomedea exulans, at Bird Island, South Georgia.","Journal of Animal Ecology, 59:775-796","Public Domain","None","Hard Copy - Tabular","None"
413,"Heesen, H.J.L.","1996","Time-series data for a selection of forty fish species caught during the International Bottom Trawl Survey.","ICES Journal of Marine Science, 53:1079-1084","Public Domain","None","Hard Copy - Graphical","None"
414,"Vollestad, L.A. & Jonsson, B.","1988","A 13-Year study of the population dynamics and growth of the European Eel, Anguilla anguilla, in a Norwegian River: Evidence for density -dependent mortality, and development of a model for predicting yield.","Journal of Animal Ecology, 57:983-997","Public Domain","None","Hard Copy - Tabular","None"
415,"Moller, A.","1989","Population dynamics of a declining Swallow, Hirundo rustica, population.","Journal of Animal Ecology, 58:1051-1063","Public Domain","None","Hard Copy - Graphical","None"
416,"Wyllie, I. & Newton, I.","1991","Demography of an increasing population of Sparrowhawks.","Journal of Animal Ecology, 60:749-766","Public Domain","None","Hard Copy - Graphical","Compares an increasing population, Rockingham, with stable, Eskdale, and decreasing populations, Annandale. Includes some data from Newton, I. & Marquiss, M. Population regulation in Sparrowhawks. Journal of Animal Ecology, 55:463-480."
417,"Murphy, E.C., Springer, A.M. & Roseneau, D.G.","1991","High annual variability in reproductive success of Kittiwakes (Rissa tridactyla L.) at a colony in Western Alaska.","Journal of Animal Ecology, 60:515-534","Public Domain","None","Hard Copy - Graphical","None"
418,"Thompson, D.B.A., Thompson, P.S. & Nethersole-Thompson,D.","1986","Timing of breeding performance in a population of Greenshanks (Tringa nebularia).","Journal of Animal Ecology, 55:181-199","Public Domain","None","Hard Copy - Graphical","None"
419,"Hindell, M.A.","1991","Some life-history parameters of a declining population of Southern Elephant Seals, Mirounga leonina.","Journal of Animal Ecology, 60:119-134","Public Domain","Australian Antarctic Division, Kingston, Tasmania, Australia,7150","Hard Copy - Tabular","None"
421,"Corten, A. & Van de Kamp, G.","1996","Variation in the abundance of southern fish species in the southern North Sea in relation to hydrography and wind.","ICES Journal of Marine Science, 53:1113-1119","Public Domain","Netherlands Institute for Fisheries Research (RIVO), PO Box 68, 1970 AB Ijmuiden, The Netherlands","Hard Copy - Graphical","None"
422,"Clutton-Brock, T.H., Albon, S.D. & Guinness, F.E.","1987","Interactions between population density and maternal characteristics affecting fecundity and juvenile survival in red deer.","Journal of Animal Ecology, 56:857-871","Public Domain","None","Hard Copy - Tabular","None"
423,"Porter, J.M. & Coulson, J.C.","1987","Long-term changes in recruitment to the breeding group, and the quality of recruits at a Kittiwake Rissa tridactyla colony.","Journal of Animal Ecology, 56:675-689","Public Domain","None","Hard Copy - Graphical","None"
424,"Arcese, P. & Smith, J.N.M.","1988","Effects of population density and supplemental food on reproduction in Song Sparrows.","Journal of Animal Ecology, 57:119-136","Public Domain","None","Hard Copy - Graphical","None"
425,"Hassell, M.P., Southwood, T.R. & Reader, P.M.","1987","The dynamics of the Viburnum Whitefly (Aleurotrachelus jelinekii): A case study of population regulation.","Journal of Animal Ecology, 56:283-300","Public Domain","M.P.Hassell, Imperial College @ Silwood Park, Ascot Berkshire. SL5 7PY","Electronic transfer","None"
426,"Owen-Smith, N.","1990","Demography of a large herbivore, the Greater Kudu Tragelaphus strepsiceros, in relation to rainfall.","Journal of Animal Ecology, 59:893-913","Public Domain","Resource Ecology Group, Dept. of Zoology, University of the Witwatersrand, Wits 2050, South Africa","Hard Copy - Graphical","None"
427,"Rijnsdorp, A.D. & Millner, R.S.","1996","Trends in population dynamics and exploitation of North Sea plaice (Pleuronectes platessa L.) since the late 1800's.","ICES Journal of Marine Science, 53:1170-1184","Public Domain","Netherlands Institute for Fisheries Research (RIVO), PO Box 68, 1970 AB Ijmuiden, The Netherlands","Hard Copy - Tabular","None"
428,"Yapp, W.B.","1969","The Bird population of an oakwood (Wyre Forest) over eighteen years.","Proceedings of the Birmingham Natural history Philosophical Society vol. 21:199-216","Public Domain","None","Hard Copy - Graphical","None"
