BiotopeID,HabitatName,BiotopeType
333,"Pistacia Trees (Anacardiaceae)","Specified plants as habitat"
334,"Heather, crowberry and grass.","Heath or Moor"
335,"Farm hedges, hawthorn and shrubs.","Agricultural"
336,"Freshwater lake","Limnetic"
337,"Gulf or sea","Marine"
338,"Woodland (mainly Pinus silvestris)","Coniferous forest"
339,"Experimentally eutrophied lake","Limnetic"
340,"Experimentally acidified lake","Limnetic"
341,"Rocky coastline","Coastal"
342,"Cultivated field, spruce forest and pine forest.","Mixed habitat"
343,"Mosaic of subalpine meadows","Grassland"
344,"Scots Pine","Specified plants as habitat"
346,"Cultivated field, abandoned field, pine forest, spruce forest, river and inhabited area.","Mixed habitat"
347,"Sugar maple (Acer saccharum) and beech (Fagus grandifolia) forest","Deciduous forest"
348,"Mixed and deciduous lowland forest","Mixed or unspecified forest"
349,"Open tussock grassland","Grassland"
350,"Desert scrub","Largely unvegetated"
351,"Saltmarshes","Wetland"
352,"Eutrophic and dimictic lake","Limnetic"
353,"High plains","Grassland"
354,"Middle boreal heath forest","Mixed or unspecified forest"
355,"Pine forest","Coniferous forest"
356,"Lonicera species (Caprifoliaceae) in forest undergrowth","Specified plants as habitat"
357,"Garden","Agricultural"
358,"General Agriculture","Agricultural"
359,"Fruit Orchard","Deciduous forest"
361,"Small island - Grassland and brush","Island"
362,"Semi - arid","Largely unvegetated"
363,"Spruce dominated forest","Coniferous forest"
364,"Juniper dominated forest","Coniferous forest"
365,"Open bog","Wetland"
366,"Mountain birch forest","Deciduous forest"
367,"Farmland and marshland","Mixed habitat"
368,"Barren pine and birch forest","Mixed or unspecified forest"
369,"Coffee leaves mined by Leucoptera meyricki and Leucoptera caffeina","Specified plants as habitat"
370,"Cocoa trees","Specified plants as habitat"
371,"Old, mature forests including treeless fell summits and bogs","Mixed habitat"
372,"True-moss spruce forest","Coniferous forest"
373,"Secondary deciduous forest","Deciduous forest"
374,"Spruce lime forest","Mixed or unspecified forest"
375,"Oak-lime-hornbeam forest","Deciduous forest"
376,"Moist Heath (mainly calluna)","Heath or Moor"
377,"Birch and spruce forest","Mixed or unspecified forest"
378,"Grassland within a marsh","Grassland"
379,"Moor","Heath or moor"
380,"Savanna","Savanna"
381,"Coastal Grassland","Grassland"
382,"Riparian eucalypt forest","Evergreen forest"
383,"Desert scrub","Arid"
384,"Polar","Polar"
385,"Creekside willows","Specified plants as habitat"
386,"Balsam fir forest","Coniferous forest"
387,"Spruce plantation","Coniferous forest"
388,"Douglas fir forest","Coniferous forest"
389,"Mixed Forest and wetland","Mixed or unspecified forest"
390,"Arid valley grassland","Grassland"
391,"Alpine tundra & Subalpine spruce","Montane"
392,"Temperate swamp and grassland","Grassland"
