LocationID,ExactName,TownName,CountyStateProvince,Country,Continent,Ocean,LongitudeDegrees,LongitudeMinutes,EorW,LatitudeDegrees,LatitudeMinutes,NorS,LongDD,LatDD,North,East,South,West,Altitude,Area,Notes,SpatialAccuracy,LocationExtent
13,"Vikna (Island)","Not applicable","Nord-Trondelag","Norway","Europe","Not applicable",1.1000000000000000e+01,0.0000000000000000e+00,"E",6.4000000000000000e+01,5.5000000000000000e+01,"N",1.1000000000000000e+01,6.4916666666666671e+01,64.9200000000,10.5500000000,64.9200000000,10.5500000000,,,"None",4,2
14,"Sklinna (Island)","Not applicable","Nord-Trondelag","Norway","Europe","Not applicable",1.0000000000000000e+01,5.0000000000000000e+01,"E",6.5000000000000000e+01,5.0000000000000000e+00,"N",1.0833333333333334e+01,6.5083333333333329e+01,65.2166000000,11.0000000000,65.1833000000,10.9500000000,,,"None",4,2
15,"Scandinavian Atlantic","Not applicable","Not applicable","Multiple or International jurisdiction","Europe","Atlantic",1.0000000000000000e+01,0.0000000000000000e+00,"W",6.5000000000000000e+01,0.0000000000000000e+00,"N",-1.0000000000000000e+01,6.5000000000000000e+01,70.0000000000,24.0000000000,58.0000000000,-30.0000000000,0.0000000000000000e+00,,"None",2,1
16,"Barents Sea","Not applicable","Not applicable","Multiple or International jurisdiction","Europe","Arctic",3.5000000000000000e+01,0.0000000000000000e+00,"E",7.1000000000000000e+01,0.0000000000000000e+00,"N",3.5000000000000000e+01,7.1000000000000000e+01,80.0000000000,60.5000000000,67.0000000000,20.0000000000,0.0000000000000000e+00,,"None",3,1
17,"Hernyken, Rost","Not applicable","Nordland","Norway","Europe","Not applicable",1.1000000000000000e+01,5.2000000000000000e+01,"E",6.7000000000000000e+01,2.6000000000000000e+01,"N",1.1866666666666667e+01,6.7433333333333337e+01,67.4300000000,11.8700000000,67.4300000000,11.8700000000,9.6000000000000000e+01,1.6600000000000001e+01,"None",4,3
18,"Skokholm Island","Milford Haven","Pembrokeshire","UK - Wales","Europe","Not applicable",5.0000000000000000e+00,9.0000000000000000e+00,"W",5.1000000000000000e+01,4.2000000000000000e+01,"N",-5.1500000000000004e+00,5.1700000000000003e+01,51.7000000000,-5.2500000000,51.6833000000,-5.2833000000,2.5000000000000000e+01,1.0000000000000000e+02,"Very little human interference. Skokholm is 2 miles from the mainland. It is virtually treeless and the flat top of the island consists mainly of grass and bracken.",3,3
19,"Alberta","Not applicable","Alberta","Canada","North America","Not applicable",1.1500000000000000e+02,0.0000000000000000e+00,"W",5.5000000000000000e+01,0.0000000000000000e+00,"N",-1.1500000000000000e+02,5.5000000000000000e+01,60.0000000000,-109.9667000000,49.0000000000,-119.9500000000,,6.6118815000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
20,"British Columbia","Not applicable","British Columbia","Canada","North America","Not applicable",1.2500000000000000e+02,0.0000000000000000e+00,"W",5.5000000000000000e+01,0.0000000000000000e+00,"N",-1.2500000000000000e+02,5.5000000000000000e+01,60.0000000000,-119.9500000000,49.0000000000,-139.0000000000,,9.4860045000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
21,"Manitoba","Not applicable","Manitoba","Canada","North America","Not applicable",9.8000000000000000e+01,0.0000000000000000e+00,"W",5.5000000000000000e+01,0.0000000000000000e+00,"N",-9.8000000000000000e+01,5.5000000000000000e+01,60.0000000000,-89.0000000000,49.0000000000,-102.0167000000,,6.5009000000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
22,"New Brunswick","Not applicable","New Brunswick","Canada","North America","Not applicable",6.7000000000000000e+01,0.0000000000000000e+00,"W",4.7000000000000000e+01,0.0000000000000000e+00,"N",-6.7000000000000000e+01,4.7000000000000000e+01,47.9833000000,-63.7833000000,44.8167000000,-69.0667000000,,7.3436860000000000e+06,"Latitude/Long indicates approximate centre of Province.",4,1
23,"Newfoundland","Not applicable","Newfoundland","Canada","North America","Not applicable",5.3000000000000000e+01,0.0000000000000000e+00,"W",4.8000000000000000e+01,0.0000000000000000e+00,"N",-5.3000000000000000e+01,4.8000000000000000e+01,60.6667000000,-52.9667000000,47.6000000000,-64.6833000000,,4.0451915000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
24,"Northwest Territories","Not applicable","Northwest Territories","Canada","North America","Not applicable",1.0000000000000000e+02,0.0000000000000000e+00,"W",6.7000000000000000e+01,0.0000000000000000e+00,"N",-1.0000000000000000e+02,6.7000000000000000e+01,78.6833000000,-102.0167000000,60.0000000000,-136.1167000000,,3.2464040000000000e+08,"Latitude/Long indicates approximate centre of Province.",4,1
25,"Nova Scotia","Not applicable","Nova Scotia","Canada","North America","Not applicable",6.3000000000000000e+01,0.0000000000000000e+00,"W",4.5000000000000000e+01,0.0000000000000000e+00,"N",-6.3000000000000000e+01,4.5000000000000000e+01,46.9667000000,-59.8667000000,43.5333000000,-66.2500000000,,5.5490750000000000e+06,"Latitude/Long indicates approximate centre of Province.",4,1
26,"Ontario","Not applicable","Ontario","Canada","North America","Not applicable",8.8000000000000000e+01,0.0000000000000000e+00,"W",5.2000000000000000e+01,0.0000000000000000e+00,"N",-8.8000000000000000e+01,5.2000000000000000e+01,56.8500000000,-74.2833000000,41.7000000000,-95.1667000000,,1.0685738000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
27,"Prince Edward Island","Not applicable","Prince Edward Island","Canada","North America","Not applicable",6.3000000000000000e+01,0.0000000000000000e+00,"W",4.7000000000000000e+01,0.0000000000000000e+00,"N",-6.3000000000000000e+01,4.7000000000000000e+01,47.0500000000,-61.9667000000,45.9333000000,-64.4167000000,,5.6565600000000000e+05,"Latitude/Long indicates approximate centre of Province.",4,1
28,"Quebec","Not applicable","Quebec","Canada","North America","Not applicable",7.3000000000000000e+01,0.0000000000000000e+00,"W",5.2000000000000000e+01,0.0000000000000000e+00,"N",-7.3000000000000000e+01,5.2000000000000000e+01,62.5500000000,-57.0833000000,44.9833000000,-79.4167000000,,1.5406874000000000e+08,"Latitude/Long indicates approximate centre of Province.",4,1
29,"Saskatchewan","Not applicable","Saskatchewan","Canada","North America","Not applicable",1.0400000000000000e+02,0.0000000000000000e+00,"W",5.5000000000000000e+01,0.0000000000000000e+00,"N",-1.0400000000000000e+02,5.5000000000000000e+01,60.0000000000,-101.3667000000,49.0000000000,-109.9667000000,,6.5190300000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
30,"Yukon","Not applicable","Yukon","Canada","North America","Not applicable",1.5500000000000000e+02,0.0000000000000000e+00,"W",6.5000000000000000e+01,0.0000000000000000e+00,"N",-1.5500000000000000e+02,6.5000000000000000e+01,69.6333000000,-123.7500000000,60.0000000000,-140.9167000000,,5.3632700000000000e+07,"Latitude/Long indicates approximate centre of Province.",4,1
31,"Alabama","Not applicable","Alabama","USA","North America","Not applicable",8.7000000000000000e+01,0.0000000000000000e+00,"W",3.3000000000000000e+01,0.0000000000000000e+00,"N",-8.7000000000000000e+01,3.3000000000000000e+01,34.9667000000,-85.0000000000,30.2000000000,-88.1833000000,,1.3148394000000000e+07,"None",4,1
32,"Alaska","Not applicable","Alaska","USA","North America","Not applicable",1.5500000000000000e+02,0.0000000000000000e+00,"W",6.5000000000000000e+01,0.0000000000000000e+00,"N",-1.5500000000000000e+02,6.5000000000000000e+01,68.7500000000,-140.9500000000,54.7000000000,-164.8000000000,,1.4784574700000000e+08,"None",4,1
33,"Arizona","Not applicable","Arizona","USA","North America","Not applicable",1.1200000000000000e+02,0.0000000000000000e+00,"W",3.4000000000000000e+01,0.0000000000000000e+00,"N",-1.1200000000000000e+02,3.4000000000000000e+01,36.9833000000,-109.0333000000,31.0316700000,-114.8000000000,,2.9399090000000000e+07,"None",4,1
34,"Arkansas","Not applicable","Arkansas","USA","North America","Not applicable",9.8000000000000000e+01,0.0000000000000000e+00,"W",3.4000000000000000e+01,0.0000000000000000e+00,"N",-9.8000000000000000e+01,3.4000000000000000e+01,36.4833000000,-89.6333000000,33.0167000000,-94.6000000000,,1.3489238000000000e+07,"None",4,1
35,"California","Not applicable","California","USA","North America","Not applicable",1.1900000000000000e+02,0.0000000000000000e+00,"W",3.7000000000000000e+01,0.0000000000000000e+00,"N",-1.1900000000000000e+02,3.7000000000000000e+01,41.9833000000,-114.1167000000,32.7000000000,-124.2100000000,,4.0480923000000000e+07,"None",4,1
36,"Colorado","Not applicable","Colorado","USA","North America","Not applicable",1.1600000000000000e+02,0.0000000000000000e+00,"W",3.8000000000000000e+01,0.0000000000000000e+00,"N",-1.1600000000000000e+02,3.8000000000000000e+01,41.0000000000,-102.0333000000,36.9833000000,-109.0333000000,,2.6831882000000000e+07,"None",4,1
37,"Connecticut","Not applicable","Connecticut","USA","North America","Not applicable",7.3000000000000000e+01,0.0000000000000000e+00,"W",4.2000000000000000e+01,0.0000000000000000e+00,"N",-7.3000000000000000e+01,4.2000000000000000e+01,42.0166700000,-71.8167000000,40.9667000000,-73.4833000000,,1.2618480000000000e+06,"None",4,1
38,"Delaware","Not applicable","Delaware","USA","North America","Not applicable",7.4000000000000000e+01,0.0000000000000000e+00,"W",3.9000000000000000e+01,0.0000000000000000e+00,"N",-7.4000000000000000e+01,3.9000000000000000e+01,39.8167000000,-75.0500000000,38.4500000000,-75.7833000000,,5.0064700000000000e+05,"None",4,1
39,"Florida","Not applicable","Florida","USA","North America","Not applicable",8.2000000000000000e+01,0.0000000000000000e+00,"W",3.0000000000000000e+01,0.0000000000000000e+00,"N",-8.2000000000000000e+01,3.0000000000000000e+01,30.8500000000,-80.0833000000,24.5333000000,-87.6333000000,,1.4026663000000000e+07,"None",4,1
40,"Georgia","Not applicable","Georgia","USA","North America","Not applicable",8.3000000000000000e+01,0.0000000000000000e+00,"W",3.3000000000000000e+01,0.0000000000000000e+00,"N",-8.3000000000000000e+01,3.3000000000000000e+01,34.9833000000,-80.8333000000,30.7000000000,-85.6000000000,,1.5037540000000000e+07,"None",4,1
41,"Idaho","Not applicable","Idaho","USA","North America","Not applicable",1.1400000000000000e+02,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-1.1400000000000000e+02,4.4000000000000000e+01,48.9667000000,-111.0167000000,41.9833000000,-117.0000000000,,2.1344967000000000e+07,"None",4,1
42,"Illinois","Not applicable","Illinois","USA","North America","Not applicable",8.9000000000000000e+01,0.0000000000000000e+00,"W",3.9000000000000000e+01,0.0000000000000000e+00,"N",-8.9000000000000000e+01,3.9000000000000000e+01,42.4833000000,-87.4833000000,89.2500000000,-91.4833000000,,1.4412314000000000e+07,"None",4,1
43,"Indiana","Not applicable","Indiana","USA","North America","Not applicable",8.6000000000000000e+01,0.0000000000000000e+00,"W",4.0000000000000000e+01,0.0000000000000000e+00,"N",-8.6000000000000000e+01,4.0000000000000000e+01,41.7500000000,-84.7833000000,37.7667000000,-91.4833000000,,9.3074240000000000e+06,"None",4,1
44,"Iowa","Not applicable","Iowa","USA","North America","Not applicable",9.4000000000000000e+01,0.0000000000000000e+00,"W",4.2000000000000000e+01,0.0000000000000000e+00,"N",-9.4000000000000000e+01,4.2000000000000000e+01,43.4833000000,-90.1333000000,40.5667000000,-98.5833000000,,1.4494935000000000e+07,"None",4,1
45,"Kansas","Not applicable","Kansas","USA","North America","Not applicable",9.7000000000000000e+01,0.0000000000000000e+00,"W",3.9000000000000000e+01,0.0000000000000000e+00,"N",-9.7000000000000000e+01,3.9000000000000000e+01,40.0000000000,-94.5833000000,36.9833000000,-102.0333000000,,2.1181797000000000e+07,"None",4,1
46,"Kentucky","Not applicable","Kentucky","USA","North America","Not applicable",8.5000000000000000e+01,0.0000000000000000e+00,"W",3.8000000000000000e+01,0.0000000000000000e+00,"N",-8.5000000000000000e+01,3.8000000000000000e+01,39.1167000000,-81.9667000000,89.4333000000,-89.4000000000,,1.0275566000000000e+07,"None",4,1
47,"Louisiana","Not applicable","Louisiana","USA","North America","Not applicable",9.7000000000000000e+01,0.0000000000000000e+00,"W",3.1000000000000000e+01,0.0000000000000000e+00,"N",-9.7000000000000000e+01,3.1000000000000000e+01,33.0000000000,-88.8000000000,28.9167000000,-94.0333000000,,1.1530680000000000e+07,"None",4,1
48,"Maine","Not applicable","Maine","USA","North America","Not applicable",6.9000000000000000e+01,0.0000000000000000e+00,"W",4.5000000000000000e+01,0.0000000000000000e+00,"N",-6.9000000000000000e+01,4.5000000000000000e+01,47.3500000000,-66.9500000000,43.0333000000,-71.0500000000,,8.0277050000000000e+06,"None",4,1
49,"Maryland","Not applicable","Maryland","USA","North America","Not applicable",7.6000000000000000e+01,0.0000000000000000e+00,"W",3.9000000000000000e+01,0.0000000000000000e+00,"N",-7.6000000000000000e+01,3.9000000000000000e+01,39.7000000000,-75.0500000000,37.8667000000,-79.4667000000,,2.5480420000000000e+06,"None",4,1
50,"Massachusetts","Not applicable","Massachusetts","USA","North America","Not applicable",7.3000000000000000e+01,0.0000000000000000e+00,"W",4.2000000000000000e+01,0.0000000000000000e+00,"N",-7.3000000000000000e+01,4.2000000000000000e+01,42.8500000000,-69.9500000000,41.2833000000,-73.5000000000,,2.0269340000000000e+06,"None",4,1
51,"Michigan","Not applicable","Michigan","USA","North America","Not applicable",8.5000000000000000e+01,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-8.5000000000000000e+01,4.4000000000000000e+01,48.2833000000,-82.1167000000,41.7500000000,-90.4000000000,,1.4752381000000000e+07,"None",4,1
52,"Minnesota","Not applicable","Minnesota","USA","North America","Not applicable",9.5000000000000000e+01,0.0000000000000000e+00,"W",4.6000000000000000e+01,0.0000000000000000e+00,"N",-9.5000000000000000e+01,4.6000000000000000e+01,49.3667000000,-89.5000000000,43.4833000000,-97.2333000000,,2.0602932000000000e+07,"None",4,1
53,"Mississippi","Not applicable","Mississippi","USA","North America","Not applicable",9.0000000000000000e+01,0.0000000000000000e+00,"W",3.3000000000000000e+01,0.0000000000000000e+00,"N",-9.0000000000000000e+01,3.3000000000000000e+01,35.0000000000,-88.3667000000,30.1667000000,-91.6333000000,,1.2233606000000000e+07,"None",4,1
54,"Missouri","Not applicable","Missouri","USA","North America","Not applicable",9.8000000000000000e+01,0.0000000000000000e+00,"W",3.8000000000000000e+01,0.0000000000000000e+00,"N",-9.8000000000000000e+01,3.8000000000000000e+01,40.6000000000,-89.1000000000,35.9833000000,-95.7500000000,,1.7856755000000000e+07,"None",4,1
55,"Montana","Not applicable","Montana","USA","North America","Not applicable",1.1000000000000000e+02,0.0000000000000000e+00,"W",4.7000000000000000e+01,0.0000000000000000e+00,"N",-1.1000000000000000e+02,4.7000000000000000e+01,48.9833000000,-104.0333000000,44.5000000000,-116.0167000000,,3.7655492000000000e+07,"None",4,1
56,"Nebraska","Not applicable","Nebraska","USA","North America","Not applicable",1.1000000000000000e+02,0.0000000000000000e+00,"W",4.2000000000000000e+01,0.0000000000000000e+00,"N",-1.1000000000000000e+02,4.2000000000000000e+01,42.9833000000,-95.3167000000,39.9833000000,-104.0333000000,,1.9797400000000000e+07,"None",4,1
57,"Nevada","Not applicable","Nevada","USA","North America","Not applicable",1.1300000000000000e+02,0.0000000000000000e+00,"W",3.9000000000000000e+01,0.0000000000000000e+00,"N",-1.1300000000000000e+02,3.9000000000000000e+01,41.9833000000,-114.0333000000,35.0000000000,-119.9833000000,,1.9849501000000000e+07,"None",4,1
58,"New Hampshire","Not applicable","New Hampshire","USA","North America","Not applicable",7.2000000000000000e+01,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-7.2000000000000000e+01,4.4000000000000000e+01,45.2833000000,-70.7000000000,42.7167000000,-72.0500000000,,2.3289280000000000e+06,"None",4,1
59,"New Jersey","Not applicable","New Jersey","USA","North America","Not applicable",7.4000000000000000e+01,0.0000000000000000e+00,"W",4.1000000000000000e+01,0.0000000000000000e+00,"N",-7.4000000000000000e+01,4.1000000000000000e+01,41.3333000000,-74.1000000000,38.9167000000,-75.1167000000,,1.9342120000000000e+06,"None",4,1
60,"New Mexico","Not applicable","New Mexico","USA","North America","Not applicable",1.1400000000000000e+02,0.0000000000000000e+00,"W",3.4000000000000000e+01,0.0000000000000000e+00,"N",-1.1400000000000000e+02,3.4000000000000000e+01,36.9833000000,-102.9833000000,31.3167000000,-109.0333000000,,3.1426024000000000e+07,"None",4,1
61,"New York (state)","Not applicable","New York","USA","North America","Not applicable",7.3000000000000000e+01,0.0000000000000000e+00,"W",4.1000000000000000e+01,0.0000000000000000e+00,"N",-7.3000000000000000e+01,4.1000000000000000e+01,44.9833000000,-71.9667000000,40.5167000000,-79.7500000000,,1.2271161000000000e+07,"None",4,1
62,"North Carolina","Not applicable","North Carolina","USA","North America","Not applicable",7.9000000000000000e+01,0.0000000000000000e+00,"W",3.6000000000000000e+01,0.0000000000000000e+00,"N",-7.9000000000000000e+01,3.6000000000000000e+01,36.5333000000,-75.4833000000,36.8500000000,-84.3000000000,,1.2650337000000000e+07,"None",4,1
63,"North Dakota","Not applicable","North Dakota","USA","North America","Not applicable",1.0000000000000000e+02,0.0000000000000000e+00,"W",4.7000000000000000e+01,0.0000000000000000e+00,"N",-1.0000000000000000e+02,4.7000000000000000e+01,48.9833000000,-96.5500000000,45.9333000000,-104.0333000000,,1.7948441000000000e+07,"None",4,1
64,"Ohio","Not applicable","Ohio","USA","North America","Not applicable",8.3000000000000000e+01,0.0000000000000000e+00,"W",4.0000000000000000e+01,0.0000000000000000e+00,"N",-8.3000000000000000e+01,4.0000000000000000e+01,41.9500000000,-80.5167000000,38.4000000000,-84.8000000000,,1.0620036000000000e+07,"None",4,1
65,"Oklahoma","Not applicable","Oklahoma","USA","North America","Not applicable",9.7000000000000000e+01,0.0000000000000000e+00,"W",3.6000000000000000e+01,0.0000000000000000e+00,"N",-9.7000000000000000e+01,3.6000000000000000e+01,36.9833000000,-94.4667000000,33.6167000000,-102.9833000000,,1.7781904000000000e+07,"None",4,1
66,"Oregon","Not applicable","Oregon","USA","North America","Not applicable",1.2000000000000000e+02,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-1.2000000000000000e+02,4.4000000000000000e+01,46.2333000000,-116.4500000000,45.9667000000,-124.3667000000,,2.4912433000000000e+07,"None",4,1
67,"Pennsylvania","Not applicable","Pennsylvania","USA","North America","Not applicable",7.8000000000000000e+01,0.0000000000000000e+00,"W",4.1000000000000000e+01,0.0000000000000000e+00,"N",-7.8000000000000000e+01,4.1000000000000000e+01,42.0000000000,-73.7167000000,36.7167000000,-80.5000000000,,1.1627028000000000e+07,"None",4,1
68,"Rhode Island","Not applicable","Rhode Island","USA","North America","Not applicable",7.2000000000000000e+01,0.0000000000000000e+00,"W",4.2000000000000000e+01,0.0000000000000000e+00,"N",-7.2000000000000000e+01,4.2000000000000000e+01,42.0167000000,-71.1167000000,41.0283000000,-71.8000000000,,2.7298600000000000e+05,"None",4,1
69,"South Carolina","Not applicable","South Carolina","USA","North America","Not applicable",8.1000000000000000e+01,0.0000000000000000e+00,"W",3.4000000000000000e+01,0.0000000000000000e+00,"N",-8.1000000000000000e+01,3.4000000000000000e+01,35.1333000000,-78.5333000000,32.0000000000,-83.3333000000,,7.8236130000000000e+06,"None",4,1
70,"South Dakota","Not applicable","South Dakota","USA","North America","Not applicable",1.0000000000000000e+02,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-1.0000000000000000e+02,4.4000000000000000e+01,45.9333000000,-96.4667000000,42.4667000000,-104.0333000000,,1.9672604000000000e+07,"None",4,1
71,"Tennesee","Not applicable","Tennesee","USA","North America","Not applicable",8.6000000000000000e+01,0.0000000000000000e+00,"W",3.6000000000000000e+01,0.0000000000000000e+00,"N",-8.6000000000000000e+01,3.6000000000000000e+01,36.5667000000,-81.6833000000,34.9833000000,-90.2833000000,,1.0658886000000000e+07,"None",4,1
72,"Texas","Not applicable","Texas","USA","North America","Not applicable",9.9000000000000000e+01,0.0000000000000000e+00,"W",3.2000000000000000e+01,0.0000000000000000e+00,"N",-9.9000000000000000e+01,3.2000000000000000e+01,36.4833000000,-93.5167000000,25.8500000000,-106.5833000000,,6.7861885000000000e+07,"None",4,1
73,"Utah","Not applicable","Utah","USA","North America","Not applicable",1.1200000000000000e+02,0.0000000000000000e+00,"W",3.9000000000000000e+01,0.0000000000000000e+00,"N",-1.1200000000000000e+02,3.9000000000000000e+01,41.9833000000,-109.0333000000,36.9833000000,-114.0333000000,,2.1257684000000000e+07,"None",4,1
74,"Vermont","Not applicable","Vermont","USA","North America","Not applicable",7.3000000000000000e+01,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-7.3000000000000000e+01,4.4000000000000000e+01,45.3000000000,-71.5500000000,42.7333000000,-73.3500000000,,2.4017070000000000e+06,"None",4,1
75,"Virginia","Not applicable","Virginia","USA","North America","Not applicable",7.8000000000000000e+01,0.0000000000000000e+00,"W",3.8000000000000000e+01,0.0000000000000000e+00,"N",-7.8000000000000000e+01,3.8000000000000000e+01,39.4500000000,-75.8500000000,36.6000000000,-83.6667000000,,1.0282300000000000e+07,"None",4,1
76,"Washington (state)","Not applicable","Washington","USA","North America","Not applicable",1.2000000000000000e+02,0.0000000000000000e+00,"W",4.8000000000000000e+01,0.0000000000000000e+00,"N",-1.2000000000000000e+02,4.8000000000000000e+01,48.9833000000,-117.0333000000,45.9833000000,-124.0667000000,,1.7226608000000000e+07,"None",4,1
77,"West Virginia","Not applicable","West Virginia","USA","North America","Not applicable",8.0000000000000000e+01,0.0000000000000000e+00,"W",3.8000000000000000e+01,0.0000000000000000e+00,"N",-8.0000000000000000e+01,3.8000000000000000e+01,40.6167000000,-77.7000000000,37.2000000000,-82.6167000000,,6.2481160000000000e+06,"None",4,1
78,"Wisconsin","Not applicable","Wisconsin","USA","North America","Not applicable",9.0000000000000000e+01,0.0000000000000000e+00,"W",4.4000000000000000e+01,0.0000000000000000e+00,"N",-9.0000000000000000e+01,4.4000000000000000e+01,47.2833000000,-86.2333000000,42.5000000000,-92.8667000000,,1.4095816000000000e+07,"None",4,1
79,"Wyoming","Not applicable","Wyoming","USA","North America","Not applicable",1.0800000000000000e+02,0.0000000000000000e+00,"W",4.3000000000000000e+01,0.0000000000000000e+00,"N",-1.0800000000000000e+02,4.3000000000000000e+01,44.9833000000,-104.0333000000,41.0000000000,-111.0167000000,,2.5119892000000000e+07,"None",4,1
80,"Canada","Not applicable","Not applicable","Canada","North America","Not applicable",9.8000000000000000e+01,0.0000000000000000e+00,"W",6.0000000000000000e+01,0.0000000000000000e+00,"N",-9.8000000000000000e+01,6.0000000000000000e+01,83.1133270000,-141.0014040000,41.9133190000,-52.6166690000,,9.9761853100000000e+08,"None",4,1
81,"USA","Not applicable","Not applicable","USA","North America","Not applicable",9.5000000000000000e+01,0.0000000000000000e+00,"W",4.0000000000000000e+01,0.0000000000000000e+00,"N",-9.5000000000000000e+01,4.0000000000000000e+01,47.4500000000,-67.0500000000,25.1333000000,-124.5333000000,,9.1668931900000000e+08,"None",4,1
82,"Canada and USA","Not applicable","Not applicable","Multiple or International jurisdiction","North America","Not applicable",1.0000000000000000e+02,0.0000000000000000e+00,"W",4.5000000000000000e+01,0.0000000000000000e+00,"N",-1.0000000000000000e+02,4.5000000000000000e+01,83.0333000000,-52.6667000000,26.1500000000,-165.9667000000,,1.9143078500000000e+09,"None",4,1
83,"Hinkley Point","Stolford","Somerset","UK - England","Europe","Not applicable",4.0000000000000000e+00,3.0000000000000000e+00,"W",5.1000000000000000e+01,1.5000000000000000e+01,"N",-4.0499999999999998e+00,5.1250000000000000e+01,51.2000000000,-3.1167000000,51.2000000000,-3.1333000000,0.0000000000000000e+00,,"None",5,3
